GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,TOTAL_STATEMENTS,STATEMENT_COVERAGE,TOTAL_BRANCH,BRANCH_COVERAGE,COMPLEXITY
JFreeChart,org.jfree.data.statistics,SimpleHistogramBin,29,197,11,39,9,54,9,27,0,11,226,0.871681416,50,0.78,36
JFreeChart,org.jfree.data.statistics,DefaultStatisticalCategoryDataset,65,652,21,91,27,190,26,59,7,22,717,0.909344491,112,0.8125,85
JFreeChart,org.jfree.data.statistics,DefaultBoxAndWhiskerCategoryDataset,117,598,36,54,45,195,42,47,10,34,715,0.836363636,90,0.6,89
JFreeChart,org.jfree.data.statistics,HistogramBin,22,80,10,10,6,20,11,7,1,7,102,0.784313725,20,0.5,18
JFreeChart,org.jfree.data.statistics,SimpleHistogramDataset,156,181,13,17,34,50,29,13,17,10,337,0.537091988,30,0.566666667,42
JFreeChart,org.jfree.data.statistics,HistogramDataset,102,407,13,33,26,87,17,27,6,15,509,0.799607073,46,0.717391304,44
JFreeChart,org.jfree.data.statistics,BoxAndWhiskerItem,50,166,10,14,12,43,11,14,1,12,216,0.768518519,24,0.583333333,25
JFreeChart,org.jfree.data.statistics,Regression,526,432,50,12,84,92,30,8,3,4,958,0.450939457,62,0.193548387,38
JFreeChart,org.jfree.chart.block,RectangleConstraint,26,313,6,22,5,87,7,27,1,19,339,0.923303835,28,0.785714286,34
JFreeChart,org.jfree.chart.block,ColorBlock,47,52,1,5,13,19,5,6,4,4,99,0.525252525,6,0.833333333,11
JFreeChart,org.jfree.chart.block,BorderArrangement,157,1258,30,96,32,245,27,47,1,10,1415,0.889045936,126,0.761904762,74
JFreeChart,org.jfree.chart.block,EmptyBlock,17,28,0,0,5,8,2,3,2,3,45,0.622222222,0,0,5
JFreeChart,org.jfree.chart.block,LengthConstraintType,50,22,12,0,17,9,10,2,4,2,72,0.305555556,12,0,12
JFreeChart,org.jfree.chart.block,GridArrangement,63,587,15,59,20,126,15,36,1,13,650,0.903076923,74,0.797297297,51
JFreeChart,org.jfree.chart.block,LabelBlock,116,213,11,17,32,64,18,19,11,12,329,0.647416413,28,0.607142857,37
JFreeChart,org.jfree.chart.block,BlockBorder,73,142,6,10,15,42,9,11,3,9,215,0.660465116,16,0.625,20
JFreeChart,org.jfree.chart.block,ColumnArrangement,419,64,48,12,97,23,31,10,7,4,483,0.132505176,60,0.2,41
JFreeChart,org.jfree.chart.block,BlockParams,14,19,0,0,6,8,4,3,4,3,33,0.575757576,0,0,7
JFreeChart,org.jfree.chart.block,FlowArrangement,177,367,28,34,40,90,24,21,4,10,544,0.674632353,62,0.548387097,45
JFreeChart,org.jfree.chart.block,LineBorder,157,95,13,9,38,30,11,9,4,5,252,0.376984127,22,0.409090909,20
JFreeChart,org.jfree.chart.block,BlockContainer,14,205,3,19,5,61,5,20,2,12,219,0.936073059,22,0.863636364,25
JFreeChart,org.jfree.chart.block,AbstractBlock,81,412,4,30,16,120,12,42,8,29,493,0.835699797,34,0.882352941,54
JFreeChart,org.jfree.chart.block,CenterArrangement,255,53,34,2,59,13,27,4,9,4,308,0.172077922,36,0.055555556,31
JFreeChart,org.jfree.chart.block,BlockResult,0,13,0,0,0,6,0,3,0,3,13,1,0,0,3
JFreeChart,org.jfree.chart.plot.dial,StandardDialRange,172,216,11,13,51,54,21,13,12,10,388,0.556701031,24,0.541666667,34
JFreeChart,org.jfree.chart.plot.dial,StandardDialScale,422,559,29,41,113,142,46,38,27,22,981,0.569826707,70,0.585714286,84
JFreeChart,org.jfree.chart.plot.dial,DialPointer.Pin,66,111,2,6,17,35,5,10,3,8,177,0.627118644,8,0.75,15
JFreeChart,org.jfree.chart.plot.dial,StandardDialFrame,102,194,2,12,27,55,9,15,7,10,296,0.655405405,14,0.857142857,24
JFreeChart,org.jfree.chart.plot.dial,DialPointer.Pointer,222,100,3,7,55,32,9,9,6,7,322,0.310559006,10,0.7,18
JFreeChart,org.jfree.chart.plot.dial,DialValueIndicator,272,427,11,29,73,119,28,32,21,19,699,0.610872675,40,0.725,60
JFreeChart,org.jfree.chart.plot.dial,DialPointer,38,47,3,5,14,15,9,5,6,4,85,0.552941176,8,0.625,14
JFreeChart,org.jfree.chart.plot.dial,DialBackground,28,114,2,8,10,37,5,13,4,9,142,0.802816901,10,0.8,18
JFreeChart,org.jfree.chart.plot.dial,DialPlot,487,377,53,29,128,105,55,27,25,16,864,0.436342593,82,0.353658537,82
JFreeChart,org.jfree.chart.plot.dial,DialLayerChangeEvent,3,7,0,0,1,3,1,1,1,1,10,0.7,0,0,2
JFreeChart,org.jfree.chart.plot.dial,ArcDialFrame,231,316,3,19,58,82,14,22,11,14,547,0.577696527,22,0.863636364,36
JFreeChart,org.jfree.chart.plot.dial,DialTextAnnotation,85,234,4,14,25,60,13,16,9,11,319,0.73354232,18,0.777777778,29
JFreeChart,org.jfree.chart.plot.dial,DialCap,59,179,2,12,17,52,8,15,6,10,238,0.75210084,14,0.857142857,23
JFreeChart,org.jfree.chart.plot.dial,AbstractDialLayer,24,98,3,7,9,26,6,10,3,8,122,0.803278689,10,0.7,16
JFreeChart,org.jfree.chart.servlet,ServletUtilities,341,0,34,0,105,0,33,0,16,0,341,0,34,0,33
JFreeChart,org.jfree.chart.servlet,ChartDeleter,46,0,4,0,15,0,7,0,5,0,46,0,4,0,7
JFreeChart,org.jfree.chart.servlet,DisplayChart,103,0,20,0,32,0,13,0,3,0,103,0,20,0,13
JFreeChart,org.jfree.data.resources,DataPackageResources_fr,35,0,0,0,6,0,3,0,3,0,35,0,0,0,3
JFreeChart,org.jfree.data.resources,DataPackageResources_es,35,0,0,0,6,0,3,0,3,0,35,0,0,0,3
JFreeChart,org.jfree.data.resources,DataPackageResources_de,35,0,0,0,6,0,3,0,3,0,35,0,0,0,3
JFreeChart,org.jfree.data.resources,DataPackageResources,0,35,0,0,0,6,0,3,0,3,35,1,0,0,3
JFreeChart,org.jfree.data.resources,DataPackageResources_ru,35,0,0,0,6,0,3,0,3,0,35,0,0,0,3
JFreeChart,org.jfree.data.resources,DataPackageResources_pl,35,0,0,0,6,0,3,0,3,0,35,0,0,0,3
JFreeChart,org.jfree.chart.annotations,XYDataImageAnnotation,289,0,26,0,81,0,29,0,16,0,289,0,26,0,29
JFreeChart,org.jfree.chart.annotations,XYTitleAnnotation,126,310,23,21,40,80,28,9,9,6,436,0.711009174,44,0.477272727,37
JFreeChart,org.jfree.chart.annotations,CategoryLineAnnotation,133,252,6,14,40,75,7,22,3,16,385,0.654545455,20,0.7,29
JFreeChart,org.jfree.chart.annotations,XYDrawableAnnotation,136,155,8,14,31,37,7,10,1,5,291,0.532646048,22,0.636363636,17
JFreeChart,org.jfree.chart.annotations,XYBoxAnnotation,49,276,12,18,14,69,14,10,2,7,325,0.849230769,30,0.6,24
JFreeChart,org.jfree.chart.annotations,CategoryPointerAnnotation,263,303,4,20,58,83,12,23,9,14,566,0.535335689,24,0.833333333,35
JFreeChart,org.jfree.chart.annotations,XYTextAnnotation,57,486,6,32,19,145,12,39,6,26,543,0.895027624,38,0.842105263,51
JFreeChart,org.jfree.chart.annotations,CategoryTextAnnotation,96,129,6,10,30,39,5,14,1,10,225,0.573333333,16,0.625,19
JFreeChart,org.jfree.chart.annotations,XYPointerAnnotation,311,300,12,18,69,81,16,22,9,14,611,0.490998363,30,0.6,38
JFreeChart,org.jfree.chart.annotations,XYPolygonAnnotation,212,144,21,13,52,41,20,10,7,6,356,0.404494382,34,0.382352941,30
JFreeChart,org.jfree.chart.annotations,XYImageAnnotation,231,0,22,0,69,0,23,0,12,0,231,0,22,0,23
JFreeChart,org.jfree.chart.annotations,XYLineAnnotation,157,171,14,14,46,44,11,11,2,6,328,0.521341463,28,0.5,22
JFreeChart,org.jfree.chart.annotations,TextAnnotation,4,239,2,14,2,76,2,24,0,18,243,0.983539095,16,0.875,26
JFreeChart,org.jfree.chart.annotations,XYShapeAnnotation,193,145,14,12,46,41,12,10,3,6,338,0.428994083,26,0.461538462,22
JFreeChart,org.jfree.chart.annotations,AbstractXYAnnotation,61,41,11,5,21,14,11,5,3,5,102,0.401960784,16,0.3125,16
JFreeChart,org.jfree.chart.annotations,AbstractAnnotation,21,83,4,4,7,25,6,9,3,8,104,0.798076923,8,0.5,15
JFreeChart,org.jfree.chart.event,OverlayChangeEvent,0,4,0,0,0,2,0,1,0,1,4,1,0,0,1
JFreeChart,org.jfree.chart.event,ChartChangeEventType,50,22,12,0,17,9,10,2,4,2,72,0.305555556,12,0,12
JFreeChart,org.jfree.chart.event,PlotChangeEvent,3,7,0,0,1,3,1,1,1,1,10,0.7,0,0,2
JFreeChart,org.jfree.chart.event,MarkerChangeEvent,0,10,0,0,0,4,0,2,0,2,10,1,0,0,2
JFreeChart,org.jfree.chart.event,TitleChangeEvent,3,7,0,0,1,3,1,1,1,1,10,0.7,0,0,2
JFreeChart,org.jfree.chart.event,AnnotationChangeEvent,3,10,0,0,1,4,1,1,1,1,13,0.769230769,0,0,2
JFreeChart,org.jfree.chart.event,AxisChangeEvent,0,10,0,0,0,4,0,2,0,2,10,1,0,0,2
JFreeChart,org.jfree.chart.event,ChartChangeEvent,12,24,0,0,4,10,3,4,3,4,36,0.666666667,0,0,7
JFreeChart,org.jfree.chart.event,RendererChangeEvent,0,21,0,0,0,8,0,4,0,4,21,1,0,0,4
JFreeChart,org.jfree.chart.event,ChartProgressEvent,21,13,0,0,9,5,6,1,6,1,34,0.382352941,0,0,7
