GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,TOTAL_STATEMENTS,STATEMENT_COVERAGE,TOTAL_BRANCH,BRANCH_COVERAGE
Apache Commons Lang,org.apache.commons.lang3.builder,RecursiveToStringStyle,0,47,1,5,0,13,1,6,0,4,47,1,6,0.833333333
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.JsonToStringStyle,200,192,39,25,53,50,31,19,8,10,392,0.489795918,64,0.390625
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,3,0,3,0,3,19,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,19,0,0,0,3,0,3,0,3,19,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.ShortPrefixToStringStyle,2,9,0,0,1,4,1,1,1,1,11,0.818181818,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffResult,0,133,0,12,0,26,0,13,0,7,133,1,12,1
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.DefaultToStringStyle,2,3,0,0,1,2,1,1,1,1,5,0.6,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoFieldNameToStringStyle,2,6,0,0,1,3,1,1,1,1,8,0.75,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.SimpleToStringStyle,2,18,0,0,1,7,1,1,1,1,20,0.9,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ReflectionToStringBuilder,37,407,2,48,6,92,5,51,3,28,444,0.916666667,50,0.96
Apache Commons Lang,org.apache.commons.lang3.builder,HashCodeBuilder,29,739,2,92,5,142,5,79,3,34,768,0.962239583,94,0.978723404
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle,81,1647,17,201,17,466,25,197,8,105,1728,0.953125,218,0.922018349
Apache Commons Lang,org.apache.commons.lang3.builder,StandardToStringStyle,97,46,0,0,39,23,29,12,29,12,143,0.321678322,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringBuilder,0,591,0,12,0,131,0,70,0,64,591,1,12,1
Apache Commons Lang,org.apache.commons.lang3.builder,MultilineRecursiveToStringStyle,66,317,1,7,18,66,4,14,3,11,383,0.82767624,8,0.875
Apache Commons Lang,org.apache.commons.lang3.builder,EqualsBuilder,55,1083,40,212,24,276,42,127,2,41,1138,0.951669596,252,0.841269841
Apache Commons Lang,org.apache.commons.lang3.builder,Diff,0,51,0,0,0,10,0,5,0,5,51,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.MultiLineToStringStyle,2,29,0,0,1,6,1,1,1,1,31,0.935483871,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,ToStringStyle.NoClassNameToStringStyle,2,9,0,0,1,4,1,1,1,1,11,0.818181818,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder,4,687,3,111,1,154,3,77,0,23,691,0.994211288,114,0.973684211
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,3,0,3,0,3,21,1,0,#DIV/0!
Apache Commons Lang,org.apache.commons.lang3.builder,IDKey,3,34,2,4,1,10,2,4,0,3,37,0.918918919,6,0.666666667
